ID	Language	Experience	Book
11	1	1	Learn JavaScript Visually Ivelin Demirov
11	1	1	JavaScript: The Definitive Guide David Flanagan
11	1	1	Beginning JavaScript Paul Wilton
12	1	2	Eloquent JavaScript: A Modern Introduction to Programming Marijn Haverbeke
12	1	2	 A Smarter Way to Learn JavaScript Mark Myers
12	1	2	JavaScript & jQuery: Interactive Front-End Web Improvement John Duckett
13	1	3	Secrets of the JavaScript Ninja John Resig
13	1	3	Programming JavaScript Applications Eric Elliott
13	1	3	You Don’t know JS Kyle Sampson
21	2	1	SQL: QuickStart Guide – The Simplified Beginner’s Guide To SQL Walter Shields
21	2	1	SQL in 10 minutes, Sam’s Teach Yourself Ben Forta
21	2	1	SQL: The Ultimate Beginner Guide Andrew Johansen 
22	2	2	 SQL Practice Problems Sylvia Moestl Vasilik
22	2	2	SQL Queries for Mere Mortals John L. Viescas, Michael J. Hernandez
22	2	2	Learning SQL Alan Beaulieu 
23	2	3	SQL Cookbook: Query Solutions and Techniques for Database Developers Anthony Molinaro 
23	2	3	SQL For Smarties, Fifth Edition: Advanced SQL Programming Joe Celko
23	2	3	The Art of SQL by Stephane Faroult
31	3	1	Beginning Programming with Java For Dummies (5th Edition) Barry A. Burd
31	3	1	Java: Programming Basics for Absolute Beginners (1st Edition) Nathan Clark 
31	3	1	Head First Java: A Brain-Friendly Guide (2nd Edition) Kathy Sierra, Bert Bates
32	3	2	Effective Java (3rd Edition) Joshua Bloch
32	3	2	Java: The Complete Reference (11th Edition) Herbert Schildt
32	3	2	Thinking in Java (4th Edition) Bruce Eckel 
33	3	3	Well-grounded Java Developer Benjamin Evans, Martijn Verburg, Jason Clark
33	3	3	Java Concurrency in Practice Brian Goetz , Tim Peierls , Joshua Bloch , Joseph Bowbeer , David Holmes , Doug Lea
33	3	3	Optimizing Java  Benjamin J Evans, James Gough, Chris Newland
41	4	1	Murachs ASP.NET 4.6 Web Programming with C# Anne Boehm Mary Delamater
41	4	1	ASP.NET Core 5 for Beginners Andreas Helland, Vincent Maverick Durano, Jeffrey Chilberto, Ed Price
41	4	1	Learn C# in One Day and Learn It Well Jamie Chan
42	4	2	ASP.NET Core in Action, 2nd Edition Andrew Lock
42	4	2	C# 5.0 in a Nutshell: The Definitive Reference Joseph Albahari and Ben Albahari
42	4	2	C# 6.0 and the .NET 4.6 Framework Andrew Troelsen and Philip Japikse
43	4	3	C# in Depth Jon Skeet
43	4	3	Programming C# 8.0 (O’Reilly)  Ian Griffiths
43	4	3	Pro ASP.NET MVC 5 Adam Freeman
51	5	1	Python Crash Course Eric Matthes
51	5	1	Python Pocket Reference Mark Lutz
51	5	1	Learn Python in 1 Day Krishna Rungta
52	5	2	FLUENT PYTHON: CLEAR, CONCISE, AND EFFECTIVE PROGRAMMING Luciano Ramalho
52	5	2	EFFECTIVE PYTHON: 90 SPECIFIC WAYS TO WRITE BETTER PYTHON Brett Slatkin
52	5	2	PROGRAMMING PYTHON: POWERFUL OBJECT-ORIENTED PROGRAMMING Mark Lutz
53	5	3	Python Cookbook David Beazley
53	5	3	Advanced Python Programming: Build high performance, concurrent, and multi-threaded apps with Python using proven design patterns Dr. Gabriele Lanaro, Quan Nguyen, Sakis Kasampalis
53	5	3	Learn Python 3 the Hard Way Zed A. Shaw
61	6	1	C++ Primer 5th Edition Stanley Lippman
61	6	1	C++ Pocket Reference Kyle Loudon
61	6	1	C++ in One Hour a Day Siddhartha Rao
62	6	2	Programming: Principles and Practice Using C++ (2008) By Bjarne Stroustrup
62	6	2	C++ Common Knowledge: Essential Intermediate Programming  Stephen C. Dewhurst
62	6	2	C++: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in C++ Programming  Zach Webber
63	6	3	Modern C++ Design Andrei Alexandrescu
63	6	3	Professional C++ Marc Gregoire
63	6	3	Effective C++ Scott Meyers
71	7	1	C Programming Absolute Beginner’s Guide Greg Perry and Dean Miller
71	7	1	C Programming in easy steps, 5th Edition Mike McGrath
71	7	1	Head First C: A Brain-Friendly Guide
72	7	2	Modern C Jens Gustedt 
72	7	2	Intermediate C Programming 1st Edition Yung-Hsiang Lu
72	7	2	The C Programming Language Kernighan and Ritchie
73	7	3	Expert C Programming: Deep Secrets Peter Van Der Linden
73	7	3	The C Programming Language 2nd Edition Brian W. Kernighan, Dennis M. Ritchie
73	7	3	C Programming: A Modern Approach K. N. King
81	8	1	Head First PHP & MySQL Lynn Beighley & Michael Morrison
81	8	1	PHP: A Beginner’s Guide Vikram Vaswani
81	8	1	The Joy of PHP Programming: A Beginner’s Guide to Programming Interactive Web Applications with PHP and MySQL Alan Forbes
82	8	2	PHP & MySQL For Dummies –  Janet Valade
